project_name,dep_name,dep_type
rules_spring,remotejdk11_win_toolchain_config_repo,library
rules_spring,local_config_sh,library
rules_spring,local_jdk,library
rules_spring,remotejdk11_win_arm64_toolchain_config_repo,library
rules_spring,remotejdk15_macos_toolchain_config_repo,library
rules_spring,remotejdk15_linux_toolchain_config_repo,library
rules_spring,remotejdk15_macos_aarch64_toolchain_config_repo,library
rules_spring,remotejdk16_linux_toolchain_config_repo,library
rules_spring,remotejdk15_win_toolchain_config_repo,library
rules_spring,remotejdk16_macos_aarch64_toolchain_config_repo,library
rules_spring,remotejdk16_macos_toolchain_config_repo,library
rules_spring,remotejdk16_win_toolchain_config_repo,library
rules_spring,remotejdk17_macos_toolchain_config_repo,library
rules_spring,remotejdk17_linux_toolchain_config_repo,library
rules_spring,remotejdk17_win_arm64_toolchain_config_repo,library
rules_spring,remotejdk17_win_toolchain_config_repo,library
rules_spring,remotejdk17_macos_aarch64_toolchain_config_repo,library
rules_spring,local_config_cc_toolchains,library
rules_spring,remote_java_tools_linux,library
rules_spring,org_springframework_spring_jcl_jar_sources_5_3_5,library
rules_spring,org_slf4j_slf4j_api_1_7_30,library
rules_spring,javax_annotation_javax_annotation_api_jar_sources_1_3_2,library
rules_spring,javax_annotation_javax_annotation_api_1_3_2,library
rules_spring,org_apache_commons_commons_compress_jar_sources_1_20,library
rules_spring,org_springframework_boot_spring_boot_jar_sources_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_2_4_4,library
rules_spring,org_apache_commons_commons_compress_1_20,library
rules_spring,org_springframework_boot_spring_boot_loader_tools_jar_sources_2_4_4,library
rules_spring,org_springframework_spring_jcl_5_3_5,library
rules_spring,org_springframework_spring_core_jar_sources_5_3_5,library
rules_spring,org_springframework_boot_spring_boot_loader_tools_2_4_4,library
rules_spring,org_springframework_spring_webmvc_jar_sources_5_3_5,library
rules_spring,org_springframework_spring_web_jar_sources_5_3_5,library
rules_spring,org_eclipse_jetty_jetty_util_jar_sources_9_4_38_v20210224,library
rules_spring,org_slf4j_slf4j_api_jar_sources_1_7_30,library
rules_spring,org_springframework_spring_webmvc_5_3_5,library
rules_spring,com_fasterxml_jackson_core_jackson_core_jar_sources_2_11_4,library
rules_spring,org_springframework_spring_core_5_3_5,library
rules_spring,org_springframework_spring_expression_jar_sources_5_3_5,library
rules_spring,com_fasterxml_jackson_core_jackson_core_2_11_4,library
rules_spring,org_springframework_spring_expression_5_3_5,library
rules_spring,org_springframework_boot_spring_boot_actuator_jar_sources_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_starter_jetty_2_4_4,library
rules_spring,org_springframework_spring_context_jar_sources_5_3_5,library
rules_spring,org_springframework_boot_spring_boot_starter_jetty_jar_sources_2_4_4,library
rules_spring,org_springframework_spring_web_5_3_5,library
rules_spring,org_eclipse_jetty_jetty_util_9_4_38_v20210224,library
rules_spring,org_springframework_boot_spring_boot_actuator_2_4_4,library
rules_spring,org_springframework_spring_context_5_3_5,library
rules_spring,org_springframework_boot_spring_boot_actuator_autoconfigure_jar_sources_2_4_4,library
rules_spring,org_springframework_spring_beans_jar_sources_5_3_5,library
rules_spring,org_springframework_boot_spring_boot_actuator_autoconfigure_2_4_4,library
rules_spring,org_springframework_spring_beans_5_3_5,library
rules_spring,org_springframework_spring_aop_jar_sources_5_3_5,library
rules_spring,org_yaml_snakeyaml_jar_sources_1_27,library
rules_spring,org_eclipse_jetty_jetty_client_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_io_jar_sources_9_4_38_v20210224,library
rules_spring,org_yaml_snakeyaml_1_27,library
rules_spring,org_eclipse_jetty_jetty_client_9_4_38_v20210224,library
rules_spring,jakarta_annotation_jakarta_annotation_api_jar_sources_1_3_5,library
rules_spring,org_springframework_spring_aop_5_3_5,library
rules_spring,org_slf4j_jul_to_slf4j_jar_sources_1_7_30,library
rules_spring,org_slf4j_jul_to_slf4j_1_7_30,library
rules_spring,org_apache_logging_log4j_log4j_api_jar_sources_2_13_3,library
rules_spring,org_springframework_boot_spring_boot_loader_jar_sources_2_4_4,library
rules_spring,org_apache_logging_log4j_log4j_api_2_13_3,library
rules_spring,org_springframework_boot_spring_boot_loader_2_4_4,library
rules_spring,jakarta_annotation_jakarta_annotation_api_1_3_5,library
rules_spring,org_eclipse_jetty_jetty_io_9_4_38_v20210224,library
rules_spring,org_springframework_boot_spring_boot_starter_jar_sources_2_4_4,library
rules_spring,org_apache_logging_log4j_log4j_to_slf4j_jar_sources_2_13_3,library
rules_spring,org_apache_logging_log4j_log4j_to_slf4j_2_13_3,library
rules_spring,org_springframework_boot_spring_boot_autoconfigure_jar_sources_2_4_4,library
rules_spring,ch_qos_logback_logback_core_jar_sources_1_2_3,library
rules_spring,ch_qos_logback_logback_core_1_2_3,library
rules_spring,ch_qos_logback_logback_classic_jar_sources_1_2_3,library
rules_spring,org_springframework_boot_spring_boot_autoconfigure_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_starter_2_4_4,library
rules_spring,org_eclipse_jetty_jetty_http_jar_sources_9_4_38_v20210224,library
rules_spring,org_ow2_asm_asm_tree_jar_sources_9_0,library
rules_spring,org_ow2_asm_asm_tree_9_0,library
rules_spring,org_ow2_asm_asm_analysis_jar_sources_9_0,library
rules_spring,org_eclipse_jetty_jetty_xml_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_xml_9_4_38_v20210224,library
rules_spring,org_ow2_asm_asm_analysis_9_0,library
rules_spring,org_ow2_asm_asm_commons_jar_sources_9_0,library
rules_spring,org_ow2_asm_asm_commons_9_0,library
rules_spring,org_eclipse_jetty_jetty_http_9_4_38_v20210224,library
rules_spring,com_fasterxml_jackson_module_jackson_module_parameter_names_jar_sources_2_11_4,library
rules_spring,com_fasterxml_jackson_module_jackson_module_parameter_names_2_11_4,library
rules_spring,org_eclipse_jetty_jetty_webapp_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_continuation_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_annotations_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_annotations_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_plus_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_plus_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_continuation_9_4_38_v20210224,library
rules_spring,org_ow2_asm_asm_jar_sources_9_0,library
rules_spring,org_eclipse_jetty_jetty_servlets_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_servlets_9_4_38_v20210224,library
rules_spring,com_fasterxml_jackson_core_jackson_annotations_jar_sources_2_11_4,library
rules_spring,com_fasterxml_jackson_core_jackson_annotations_2_11_4,library
rules_spring,org_glassfish_jakarta_el_jar_sources_3_0_3,library
rules_spring,org_ow2_asm_asm_9_0,library
rules_spring,org_glassfish_jakarta_el_3_0_3,library
rules_spring,com_fasterxml_jackson_core_jackson_databind_jar_sources_2_11_4,library
rules_spring,com_fasterxml_jackson_core_jackson_databind_2_11_4,library
rules_spring,jakarta_servlet_jakarta_servlet_api_jar_sources_4_0_4,library
rules_spring,jakarta_servlet_jakarta_servlet_api_4_0_4,library
rules_spring,com_fasterxml_jackson_datatype_jackson_datatype_jdk8_jar_sources_2_11_4,library
rules_spring,com_fasterxml_jackson_datatype_jackson_datatype_jdk8_2_11_4,library
rules_spring,com_fasterxml_jackson_datatype_jackson_datatype_jsr310_jar_sources_2_11_4,library
rules_spring,com_fasterxml_jackson_datatype_jackson_datatype_jsr310_2_11_4,library
rules_spring,org_springframework_boot_spring_boot_starter_json_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_starter_json_jar_sources_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_starter_web_jar_sources_2_4_4,library
rules_spring,org_eclipse_jetty_jetty_util_ajax_jar_sources_9_4_38_v20210224,library
rules_spring,org_springframework_boot_spring_boot_starter_web_2_4_4,library
rules_spring,org_eclipse_jetty_jetty_util_ajax_9_4_38_v20210224,library
rules_spring,org_springframework_boot_spring_boot_starter_logging_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_starter_logging_jar_sources_2_4_4,library
rules_spring,ch_qos_logback_logback_classic_1_2_3,library
rules_spring,org_eclipse_jetty_jetty_server_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_server_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_security_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_security_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_servlet_jar_sources_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_servlet_9_4_38_v20210224,library
rules_spring,org_eclipse_jetty_jetty_webapp_9_4_38_v20210224,library
rules_spring,rules_java,library
rules_spring,remotejdk11_linux,library
rules_spring,remote_java_tools,library
rules_spring,bazel_tools,library
rules_spring,local_config_cc,library
rules_spring,rules_cc,library
rules_proto,rules_jvm_external,library
rules_proto,io_grpc_grpc_java,library
rules_proto,com_google_protobuf,library
rules_go,hermetic_cc_toolchain,library
rules_go,local_config_platform,library
rules_go,remotejdk11_linux_ppc64le_toolchain_config_repo,library
rules_go,go_sdk_toolchains,library
rules_go,local_config_apple_cc_toolchains,library
rules_go,remotejdk11_linux_aarch64_toolchain_config_repo,library
rules_go,remotejdk11_linux_toolchain_config_repo,library
rules_go,remotejdk11_linux_s390x_toolchain_config_repo,library
rules_go,local_jdk,library
rules_go,remotejdk11_macos_aarch64_toolchain_config_repo,library
rules_go,remotejdk11_macos_toolchain_config_repo,library
rules_go,remotejdk17_linux_aarch64_toolchain_config_repo,library
rules_go,remotejdk11_win_arm64_toolchain_config_repo,library
rules_go,remotejdk11_win_toolchain_config_repo,library
rules_go,remotejdk17_linux_toolchain_config_repo,library
rules_go,remotejdk17_win_arm64_toolchain_config_repo,library
rules_go,remotejdk17_win_toolchain_config_repo,library
rules_go,remotejdk17_macos_aarch64_toolchain_config_repo,library
rules_go,remotejdk17_macos_toolchain_config_repo,library
rules_go,remotejdk18_linux_toolchain_config_repo,library
rules_go,remotejdk18_linux_aarch64_toolchain_config_repo,library
rules_go,remotejdk18_macos_aarch64_toolchain_config_repo,library
rules_go,remotejdk18_win_toolchain_config_repo,library
rules_go,remotejdk18_macos_toolchain_config_repo,library
rules_go,remotejdk18_win_arm64_toolchain_config_repo,library
rules_go,local_config_sh,library
rules_go,local_config_cc_toolchains,library
rules_go,rules_java,library
rules_go,io_bazel_rules_nogo,library
rules_go,bazel_tools,library
rules_go,local_config_cc,library
rules_go,go_sdk,toolchain
rules_go,rules_cc,library
rules_spring,remote_coverage_tools,library
rules_spring,org_springframework_spring_test_jar_sources_5_3_5,library
rules_spring,org_hamcrest_hamcrest_core_1_3,library
rules_spring,org_hamcrest_hamcrest_core_jar_sources_1_3,library
rules_spring,junit_junit_jar_sources_4_13,library
rules_spring,org_springframework_spring_test_5_3_5,library
rules_go,local_config_xcode,library
material.angular.io,nodejs_linux_amd64,library
rules_spring,junit_junit_4_13,library
rules_spring,org_springframework_boot_spring_boot_test_2_4_4,library
rules_spring,org_springframework_boot_spring_boot_test_jar_sources_2_4_4,library
rules_proto,maven,library
material.angular.io,pnpm,library
material.angular.io,npm,library
material.angular.io,npm__at_angular-devkit_architect-cli__0.1700.0-rc.0,library
material.angular.io,local_config_platform,library
material.angular.io,npm__at_esbuild_linux-ppc64__0.18.20,library
material.angular.io,npm__at_angular-devkit_schematics__17.0.0-rc.0,library
material.angular.io,npm__at_ampproject_remapping__2.2.1,library
material.angular.io,npm__at_angular-eslint_builder__14.1.2__99773703,library
material.angular.io,npm__at_angular-devkit_architect__0.1700.0-rc.0__chokidar_3.5.3,library
material.angular.io,npm__at_angular-devkit_build-webpack__0.1700.0-rc.0__-483419352,library
material.angular.io,npm__at_material_banner__15.0.0-canary.a246a4439.0,library
material.angular.io,npm__globals__11.12.0,library
material.angular.io,npm__at_babel_plugin-transform-new-target__7.22.5__at_babel_core_7.23.2,library
material.angular.io,npm__array-flatten__3.0.0,library
material.angular.io,npm__at_material_base__15.0.0-canary.a246a4439.0,library
material.angular.io,npm__glob__8.0.3,library
material.angular.io,npm__yauzl__2.10.0,library
material.angular.io,npm__glob__7.2.3,library
material.angular.io,npm__at_babel_helper-string-parser__7.22.5,library
material.angular.io,npm__global-dirs__2.1.0,library
material.angular.io,npm__yargs__17.1.1,library
material.angular.io,npm__array-flatten__2.1.2,library
material.angular.io,npm__array-flatten__1.1.1,library
material.angular.io,npm__yargs__15.4.1,library
material.angular.io,npm__at_angular-devkit_build-angular__17.0.0-rc.0__2041940121,library
material.angular.io,npm__at_angular_components-examples__github.com_angular_material2-docs-content_9bef76ab6f8c5e7bec1356e2c38d77afc6451658__469814750,library
material.angular.io,npm__yargs-parser__18.1.3,library
material.angular.io,npm__glob__10.2.2,library
material.angular.io,npm__glob-slash__1.0.0,library
material.angular.io,npm__at_material_animation__15.0.0-canary.a246a4439.0,library
material.angular.io,npm__yallist__2.1.2,library
material.angular.io,npm__xmlhttprequest-ssl__2.0.0,library
material.angular.io,npm__yaml__1.10.2,library
material.angular.io,npm__xtend__4.0.2,library
material.angular.io,npm__glob-slasher__1.0.1,library
material.angular.io,npm__xmlcreate__2.0.4,library
material.angular.io,npm__at_babel_helper-split-export-declaration__7.22.6,library
material.angular.io,npm__yargs__16.2.0,library
material.angular.io,npm__glob-parent__6.0.2,library
material.angular.io,npm__arg__4.1.3,library
material.angular.io,npm__xml2js__0.4.23,library
material.angular.io,npm__yallist__3.1.1,library
material.angular.io,npm__get-symbol-description__1.0.0,library
material.angular.io,npm__at_babel_plugin-transform-modules-umd__7.22.5__at_babel_core_7.23.2,library
material.angular.io,npm__ws__7.5.9,library
material.angular.io,npm__wrappy__1.0.2,library
material.angular.io,npm__write-file-atomic__3.0.3,library
material.angular.io,npm__get-stream__4.1.0,library
material.angular.io,npm__word-wrap__1.2.3,library
material.angular.io,npm__winston-transport__4.5.0,library
material.angular.io,npm__archiver-utils__2.1.0,library
material.angular.io,npm__get-stream__2.3.1,library
material.angular.io,npm__ws__8.13.0,library
material.angular.io,npm__get-stream__6.0.1,library
material.angular.io,npm__arch__2.2.0,library
material.angular.io,npm__aria-query__5.0.2,library
material.angular.io,npm__get-stream__3.0.0,library
material.angular.io,npm__winston__3.8.2,library
material.angular.io,npm__get-intrinsic__1.1.3,library
material.angular.io,npm__which__4.0.0,library
material.angular.io,npm__at_babel_helper-skip-transparent-expression-wrappers__7.22.5,library
material.angular.io,npm__which__1.3.1,library
material.angular.io,npm__at_jsdevtools_ono__7.1.3,library
material.angular.io,npm__webpack-sources__3.2.3,library
material.angular.io,npm__anymatch__3.1.2,library
material.angular.io,npm__at_jridgewell_sourcemap-codec__1.4.14,library
material.angular.io,npm__webpack-dev-middleware__6.1.1__webpack_5.89.0,library
material.angular.io,npm__which-module__2.0.0,library
material.angular.io,npm__webpack-merge__5.10.0,library
material.angular.io,npm__gensync__1.0.0-beta.2,library
material.angular.io,npm__ansi-styles__6.2.1,library
material.angular.io,npm__get-caller-file__2.0.5,library
material.angular.io,npm__ansi-styles__4.3.0,library
material.angular.io,npm__webidl-conversions__3.0.1,library
material.angular.io,npm__at_jridgewell_source-map__0.3.3,library
material.angular.io,npm__function.prototype.name__1.1.5,library
material.angular.io,npm__void-elements__2.0.1,library
material.angular.io,npm__watchpack__2.4.0,library
material.angular.io,npm__function-bind__1.1.2,library
material.angular.io,npm__ansi-styles__3.2.1,library
material.angular.io,npm__valid-url__1.0.9,library
material.angular.io,npm__wbuf__1.7.3,library
material.angular.io,npm__ansi-styles__2.2.1,library
material.angular.io,npm__ansi-regex__6.0.1,library
material.angular.io,npm__uuid__3.4.0,library
material.angular.io,npm__fs.realpath__1.0.0,library
material.angular.io,npm__webdriver-manager__12.1.8,library
material.angular.io,npm__fstream__1.0.12,library
material.angular.io,npm__at_jridgewell_resolve-uri__3.1.0,library
material.angular.io,npm__uuid__8.3.2,library
material.angular.io,npm__uri-js__4.4.1,library
material.angular.io,npm__fs-minipass__2.1.0,library
material.angular.io,npm__fs-minipass__3.0.0,library
material.angular.io,npm__ansi-regex__2.1.1,library
material.angular.io,npm__fs-extra__3.0.1,library
material.angular.io,npm__at_jridgewell_gen-mapping__0.3.2,library
material.angular.io,npm__update-notifier__5.1.0,library
material.angular.io,npm__universalify__0.1.2,library
material.angular.io,npm__fs-extra__10.1.0,library
material.angular.io,npm__from2__2.3.0,library
material.angular.io,npm__unique-string__2.0.0,library
material.angular.io,npm__ansi-escapes__5.0.0,library
material.angular.io,npm__unique-slug__4.0.0,library
material.angular.io,npm__unique-filename__2.0.1,library
material.angular.io,npm__ansi-regex__5.0.1,library
material.angular.io,npm__unicode-match-property-ecmascript__2.0.0,library
material.angular.io,npm__fraction.js__4.3.7,library
material.angular.io,npm__form-data__4.0.0,library
material.angular.io,npm__unicode-match-property-value-ecmascript__2.1.0,library
material.angular.io,npm__ansi-escapes__4.3.2,library
