project,pkg_name,syscall,path,type
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/server/classes.jsa,top
bazel-deps,openjdk-17-jdk,read,/usr/lib/jvm/java-17-openjdk-amd64/include/linux/jawt_md.h,top
bazel-deps,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/libc_nonshared.a,transitive
bazel-deps,libgcc-s1,read,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/rmiregistry,top
bazel-deps,binutils,execve,/usr/bin/as,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/java,top
bazel-deps,libattr1,read,/usr/lib/x86_64-linux-gnu/libattr.so.1.1.2448,transitive
bazel-deps,libmpfr6,read,/usr/lib/x86_64-linux-gnu/libmpfr.so.6.1.0,transitive
bazel-deps,unknown,read,/etc/timezone,unknown
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/libnss_dns-2.31.so,transitive
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_TELEPHONE,top
bazel-deps,libbinutils,openat,/usr/lib/x86_64-linux-gnu/libbfd-2.35.2-system.so,transitive
bazel-deps,liblz4-1,read,/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjdwp.so,top
bazel-deps,unknown,read,/sys/devices/system/cpu/online,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libsyslookup.so,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/javap,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libsctp.so,top
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_NUMERIC,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/tzdb.dat,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/jvm-amd64.cfg,top
bazel-deps,libstdc++6,openat,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,transitive
bazel-deps,libselinux1,openat,/usr/lib/x86_64-linux-gnu/libselinux.so.1,transitive
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64,unknown
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libm-2.31.so,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjimage.so,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/psfont.properties.ja,top
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,transitive
bazel-deps,unknown,read,/etc/hosts,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/jspawnhelper,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libawt_headless.so,top
bazel-deps,unknown,openat,/usr/lib/gcc/x86_64-linux-gnu/10,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jstack,transitive
bazel-deps,openjdk-17-jdk,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jconsole,top
bazel-deps,libc6-dev,read,/usr/lib/x86_64-linux-gnu/crti.o,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jdeprscan,transitive
bazel-deps,unknown,read,/etc/resolv.conf,unknown
bazel-deps,libgcrypt20,openat,/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.8,transitive
bazel-deps,libprocps8,openat,/usr/lib/x86_64-linux-gnu/libprocps.so.8.0.3,top
bazel-deps,libbinutils,read,/usr/lib/x86_64-linux-gnu/libopcodes-2.35.2-system.so,transitive
