project,pkg_name,syscall,path,type
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/localefwd.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/backward/binders.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/enable_special_members.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/cpu-set.h,transitive
autodiff,unknown,read,/etc/timezone,unknown
autodiff,libc6,openat,/usr/lib/x86_64-linux-gnu/libnss_dns-2.31.so,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/tr1/ell_integral.tcc,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/GlobalSign_Root_CA_-_R2.crt,top
autodiff,openjdk-17-jre-headless,read,/etc/java-17-openjdk/jvm-amd64.cfg,top
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/GeoTrust_Primary_Certification_Authority_-_G2.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/AffirmTrust_Premium_ECC.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/ext/aligned_buffer.h,transitive
autodiff,libc6-dev,read,/usr/include/errno.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/tr1/poly_laguerre.tcc,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/certSIGN_ROOT_CA.crt,top
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/time.h,transitive
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/libm-2.31.so,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Certigna_Root_CA.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/cpp_type_traits.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/time_t.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/TUBITAK_Kamu_SM_SSL_Kok_Sertifikasi_-_Surum_1.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/CFCA_EV_ROOT.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/memory,transitive
autodiff,unknown,read,/etc/hosts,unknown
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/refwrap.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_facets.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/struct_FILE.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/Go_Daddy_Class_2_CA.crt,top
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/errno.h,transitive
autodiff,libc6-dev,read,/usr/include/stdio.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/allocated_ptr.h,transitive
autodiff,libc6-dev,read,/usr/lib/x86_64-linux-gnu/crti.o,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/Secure_Global_CA.crt,top
autodiff,unknown,read,/etc/resolv.conf,unknown
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/setjmp.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/string_view.tcc,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/fp-logb.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/TrustCor_RootCert_CA-1.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/functional_hash.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/unique_ptr.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/locale_classes.h,transitive
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/ld-2.31.so,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/uniform_int_dist.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/basic_string.tcc,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/hashtable_policy.h,transitive
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/libc-2.31.so,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/tr1/bessel_function.tcc,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/cstddef,transitive
autodiff,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/libc.so,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/SSL.com_EV_Root_Certification_Authority_RSA_R2.crt,top
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/struct_rwlock.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/ext/alloc_traits.h,transitive
autodiff,unknown,read,/etc/nsswitch.conf,unknown
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_algobase.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/memoryfwd.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/postypes.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/clocale,transitive
