project,pkg_name,syscall,path,type
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/lzma.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/stat.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/posixpath.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/etc/nsswitch.conf,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/stat.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/include/linux,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/reprlib.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/sre_constants.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/heapq.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/dev/urandom,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/io.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/_collections_abc.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/subprocess.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/sre_parse.cpython-39.pyc,unknown
bazel-bsp,coreutils,execve,/usr/bin/mv,top
bazel-bsp,unknown,openat,/dev/random,unknown
bazel-bsp,unknown,openat,/sys/devices/system/cpu,unknown
bazel-bsp,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/include,unknown
bazel-bsp,unknown,read,/sys/devices/system/cpu/online,unknown
bazel-bsp,unknown,openat,/usr/lib/gcc/x86_64-linux-gnu/10,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/sre_compile.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/jfr,unknown
bazel-bsp,procps,execve,/usr/bin/ps,top
bazel-bsp,unknown,openat,/sys/kernel/mm/transparent_hugepage/hpage_pmd_size,unknown
